,Date,AAPL,ABBV,ABT,AMZN,ASML,AVGO,BABA,BHP,EDU,GOOG,GOOGL,LLY,MRK,MSFT,NVO,NVS,TSLA,UNH,UPS,V,WFC,WMT
0,2018-06-04,47.95750045776367,99.0999984741211,63.02000045776367,1665.27001953125,203.9199981689453,258.3699951171875,208.9499969482422,50.189998626708984,10.104999542236328,1139.2900390625,1153.0400390625,85.06999969482422,62.02000045776367,101.66999816894531,47.599998474121094,67.88530731201172,59.347999572753906,244.6300048828125,116.97000122070312,133.07000732421875,54.83000183105469,85.41999816894531
1,2018-06-05,48.32749938964844,99.23999786376953,63.029998779296875,1696.3499755859375,209.32000732421875,259.260009765625,208.3699951171875,50.560001373291016,10.253000259399414,1139.6600341796875,1151.02001953125,84.81999969482422,61.38999938964844,102.19000244140625,47.380001068115234,67.11469268798828,58.22600173950195,244.42999267578125,116.80999755859375,133.55999755859375,54.5,84.62000274658203
2,2018-06-06,48.494998931884766,99.9800033569336,63.540000915527344,1695.75,213.61000061035156,263.5199890136719,208.3000030517578,51.95000076293945,10.440999984741211,1136.8800048828125,1146.949951171875,85.93000030517578,61.93000030517578,102.48999786376953,46.849998474121094,67.39247131347656,63.900001525878906,248.64999389648438,117.0199966430664,136.27999877929688,55.58000183105469,84.55999755859375
3,2018-06-07,48.3650016784668,99.31999969482422,63.18000030517578,1689.300048828125,207.55999755859375,264.67999267578125,203.6199951171875,51.7599983215332,10.432999610900879,1123.8599853515625,1134.4200439453125,85.87999725341797,61.9900016784668,100.87999725341797,46.0099983215332,67.64337158203125,63.21799850463867,248.97999572753906,116.19000244140625,133.83999633789062,55.630001068115234,84.94999694824219
4,2018-06-08,47.92499923706055,100.43000030517578,63.27000045776367,1683.989990234375,207.4499969482422,257.9700012207031,205.07000732421875,51.66999816894531,10.5,1120.8699951171875,1132.7099609375,86.08000183105469,62.58000183105469,101.62999725341797,44.93000030517578,67.39247131347656,63.53200149536133,250.67999267578125,116.5999984741211,134.74000549316406,55.68000030517578,84.36000061035156
5,2018-06-11,47.807498931884766,99.7699966430664,63.130001068115234,1689.1199951171875,209.86000061035156,260.8299865722656,205.6999969482422,51.83000183105469,10.539999961853027,1129.989990234375,1140.9000244140625,85.86000061035156,62.33000183105469,101.05000305175781,44.83000183105469,67.92115020751953,66.41999816894531,253.77999877929688,116.8499984741211,133.91000366210938,55.5099983215332,84.30000305175781
6,2018-06-12,48.06999969482422,98.91000366210938,62.91999816894531,1698.75,209.33999633789062,261.42999267578125,209.0800018310547,51.13999938964844,10.626999855041504,1139.3199462890625,1148.18994140625,85.48999786376953,62.439998626708984,101.30999755859375,44.290000915527344,67.95698547363281,68.55400085449219,253.5800018310547,118.33999633789062,134.86000061035156,55.380001068115234,84.0999984741211
7,2018-06-13,47.67499923706055,97.58000183105469,62.630001068115234,1704.8599853515625,213.75,263.5799865722656,206.6199951171875,50.689998626708984,10.281999588012695,1134.7900390625,1144.22998046875,85.72000122070312,62.59000015258789,100.8499984741211,44.5,67.91218566894531,68.95600128173828,252.8699951171875,117.33000183105469,134.39999389648438,55.15999984741211,84.08999633789062
8,2018-06-14,47.70000076293945,98.75,62.959999084472656,1723.8599853515625,215.88999938964844,268.4599914550781,210.86000061035156,50.36000061035156,10.39900016784668,1152.1199951171875,1160.1099853515625,86.3499984741211,61.560001373291016,101.41999816894531,44.650001525878906,68.08243560791016,71.54399871826172,255.3300018310547,117.19000244140625,135.0,54.7400016784668,83.79000091552734
9,2018-06-15,47.209999084472656,99.56999969482422,62.90999984741211,1715.969970703125,214.82000732421875,270.2300109863281,208.0,48.70000076293945,10.380999565124512,1152.260009765625,1159.27001953125,86.87999725341797,62.029998779296875,100.12999725341797,44.84000015258789,67.91218566894531,71.63400268554688,255.97999572753906,116.7699966430664,135.10000610351562,54.97999954223633,83.69999694824219
10,2018-06-18,47.185001373291016,98.4800033569336,62.81999969482422,1723.7900390625,211.10000610351562,264.5,208.57000732421875,48.970001220703125,10.496999740600586,1173.4599609375,1183.5799560546875,86.11000061035156,60.9900016784668,100.86000061035156,44.75,66.38888549804688,74.16600036621094,254.8699951171875,116.7699966430664,136.1999969482422,55.08000183105469,83.0
11,2018-06-19,46.42250061035156,98.01000213623047,62.34000015258789,1734.780029296875,206.17999267578125,260.95001220703125,204.42999267578125,47.63999938964844,10.569000244140625,1168.06005859375,1178.68994140625,86.81999969482422,61.029998779296875,100.86000061035156,44.66999816894531,65.92293548583984,70.51000213623047,253.02000427246094,114.81999969482422,135.11000061035156,55.08000183105469,83.61000061035156
12,2018-06-20,46.625,98.25,62.13999938964844,1750.0799560546875,205.5,261.2200012207031,206.22999572753906,47.77000045776367,10.387999534606934,1169.8399658203125,1184.0699462890625,86.27999877929688,61.279998779296875,101.87000274658203,45.650001525878906,66.51433563232422,72.44400024414062,252.80999755859375,113.6500015258789,135.5,54.47999954223633,83.61000061035156
13,2018-06-21,46.3650016784668,95.55000305175781,61.75,1730.219970703125,204.24000549316406,259.6499938964844,202.2100067138672,47.880001068115234,10.253000259399414,1157.6600341796875,1169.43994140625,86.06999969482422,61.18000030517578,101.13999938964844,46.400001525878906,66.29032135009766,69.50199890136719,251.88999938964844,113.41999816894531,134.52999877929688,54.369998931884766,84.20999908447266
